sample,category,MAIT_Frequency
BW_13__TRA.csv,before,0.0134751511576463
BW_12__TRA.csv,before,0.004830077020147
BW_11__TRA.csv,before,0.002101944298476
BW_8__TRA.csv,before,0.0061686474250141
BW_5__TRA.csv,before,0.0113122171945701
BW_2__TRA.csv,before,0.0122720551996057
BW_1__TRA.csv,before,0.0028155298700198
BW_15__TRA.csv,before,0.0124492536009088
BW_10__TRA.csv,after,0.0107027639724474
BW_14__TRA.csv,after,0.0042538514601057
BW_16__TRA.csv,after,0.0307744485077267
BW_7__TRA.csv,after,0.0114552566456454
BW_6__TRA.csv,after,0.0129111934433591
BW_9__TRA.csv,after,0.0094612644701691
BW_17__TRA.csv,after,0.0085450724254665
BW_4__TRA.csv,after,0.0076480387702559
