sample,category,MAIT_Sum_log
BW_13__TRA.csv,before,2.8639173769578603
BW_12__TRA.csv,before,2.7442929831226763
BW_11__TRA.csv,before,2.133538908370217
BW_8__TRA.csv,before,2.3384564936046046
BW_5__TRA.csv,before,2.934498451243568
BW_2__TRA.csv,before,2.6972293427597176
BW_1__TRA.csv,before,2.424881636631067
BW_15__TRA.csv,before,3.1950689964685903
BW_10__TRA.csv,after,2.992111487786949
BW_14__TRA.csv,after,1.568201724066995
BW_16__TRA.csv,after,3.620552444729435
BW_7__TRA.csv,after,2.4578818967339924
BW_6__TRA.csv,after,2.662757831681574
BW_9__TRA.csv,after,2.230448921378274
BW_17__TRA.csv,after,2.8318697742805017
BW_4__TRA.csv,after,2.7032913781186614
