sample,Category,IGKJ1,IGKJ2,IGKJ3,IGKJ4,IGKJ5
BW_15__IGK.csv,before,0.3522908565161033,0.2603699272110878,0.0997606939874364,0.1877929005882939,0.0997856216970784
BW_1__IGK.csv,before,0.313164108618654,0.2755312868949232,0.1241145218417945,0.1843270365997638,0.1028630460448642
BW_2__IGK.csv,before,0.446400937866354,0.2199531066822977,0.1025556858147714,0.1449941383352872,0.0860961313012895
BW_5__IGK.csv,before,0.3463309449473282,0.2749713618292491,0.1100379596145639,0.1805889355585004,0.0880707980503582
BW_8__IGK.csv,before,0.3448692152917505,0.3153420523138833,0.07238430583501,0.189486921529175,0.077917505030181
BW_11__IGK.csv,before,0.2723476297968397,0.3079430022573363,0.1103273137697516,0.2118086907449209,0.0975733634311512
BW_12__IGK.csv,before,0.3196571894980274,0.2584410284315059,0.1299687117398993,0.2072371105971976,0.0846959597333696
BW_13__IGK.csv,before,0.3258401213018794,0.255738918861737,0.1037589477767199,0.1895694488522162,0.1250925632074473
BW_4__IGK.csv,after,0.3154516435165214,0.2573548442757312,0.1198170994737296,0.2124406867397118,0.0949357259943059
BW_17__IGK.csv,after,0.3044296312224492,0.2468014192022363,0.1218686162778195,0.2236318675411246,0.1032684657563702
BW_9__IGK.csv,after,0.3292246520874751,0.2407554671968191,0.0788767395626242,0.2826043737574553,0.0685387673956262
BW_6__IGK.csv,after,0.3391201694385611,0.2607201138849345,0.0908996215409187,0.2138814624492205,0.095378632686365
BW_7__IGK.csv,after,0.3546790860136807,0.2683015572696842,0.0608353951389899,0.2109591034783874,0.1052248580992577
BW_14__IGK.csv,after,0.2257335697534748,0.2476977635417262,0.1968483669850712,0.270691528913802,0.0590287708059257
BW_16__IGK.csv,after,0.337119248937525,0.2515585434837334,0.106825013697413,0.2141534998741318,0.0903436940071966
BW_10__IGK.csv,after,0.3718700213424715,0.2191962004388733,0.1509604112183244,0.1759100610214326,0.082063305978898
