sample,therapy,top100TRA
BW_1,before,0.5949184144040777
BW_2,before,0.3120765870628547
BW_5,before,0.3017614947380269
BW_8,before,0.7320384230780885
BW_11,before,0.3557838158675724
BW_12,before,0.2695562397448424
BW_13,before,0.48229223672895
BW_15,before,0.5521353814989872
BW_4,after,0.3493950294310006
BW_6,after,0.361805307628228
BW_7,after,0.2553173351519543
BW_9,after,0.3145425322935889
BW_10,after,0.341955058530858
BW_14,after,0.3198175992112398
BW_16,after,0.2960183547631566
BW_17,after,0.3140430229114503
