sample,therapy,top100TRB
BW_1,before,0.5141702497106003
BW_2,before,0.3623761093476711
BW_5,before,0.3014698949177047
BW_8,before,0.7602218842265367
BW_11,before,0.3178409006188026
BW_12,before,0.3576408610700897
BW_13,before,0.4457510084091064
BW_15,before,0.5401437411122642
BW_4,after,0.3996186181756885
BW_6,after,0.2958130406338591
BW_7,after,0.2543142994451483
BW_9,after,0.2820412628946546
BW_10,after,0.3082423224120227
BW_14,after,0.2998672535457277
BW_16,after,0.3021960318806173
BW_17,after,0.2479242899864405
