sample,therapy,top50IGH
BW_1,before,0.1680477790220231
BW_2,before,0.2391094966840034
BW_5,before,0.2520386157630488
BW_8,before,0.2982202286210389
BW_11,before,0.1469017800580589
BW_12,before,0.1697586856067088
BW_13,before,0.1816079228342635
BW_15,before,0.1239611171478077
BW_4,after,0.1907850404312668
BW_6,after,0.078425342149777
BW_7,after,0.2897506925207756
BW_9,after,0.1848626925653047
BW_10,after,0.2286594980620352
BW_14,after,0.457071090719415
BW_16,after,0.0774397101087092
BW_17,after,0.2401425581263789
