sample,Category,TRGV1,TRGV10,TRGV2,TRGV3,TRGV4,TRGV5,TRGV5P,TRGV6,TRGV7,TRGV8,TRGV9
BW_11__TRG.csv,cancer,0.0004090537223888,,0.2249795473138805,0.1353967821107172,0.0462230706299427,0.0437687482956094,0.0001363512407962,,0.0096809380965366,0.0639487319334606,0.4754567766566676
BW_1__TRG.csv,cancer,,,0.1165417539871416,0.16229176286719,0.306432706993926,0.1317443966895179,0.0002841615458388,,0.020033388981636,0.0417717472383049,0.2209000816964444
BW_2__TRG.csv,cancer,0.0002242822966507,,0.2091806220095693,0.1364383971291866,0.4169407894736842,0.0228020334928229,0.0001495215311004,,0.0167464114832535,0.1389055023923445,0.0586124401913875
BW_8__TRG.csv,cancer,0.0002357378595002,,0.2333804809052334,0.1461574728901461,0.1206977840641207,0.069071192833569,,,0.0233380480905233,0.1669024045261669,0.2402168788307402
BW_5__TRG.csv,cancer,6.43459236857345e-05,,0.3504279003925101,0.0330094588507818,0.1447139823692169,0.1692941252171675,0.0005147673894858,,0.0623512000514767,0.0665336850910494,0.1730905347146258
BW_15__TRG.csv,cancer,,,0.2409671433249645,0.2740421351380853,0.0839428010042571,0.0559436742713677,5.457919441109049e-05,,0.009660517410763,0.0674053050976967,0.2679838445584543
BW_12__TRG.csv,cancer,,,0.2254485363550519,0.0489848914069877,0.4708451369216241,0.0267941454202077,0.0001180358829084,,0.0435552407932011,0.0705854579792256,0.1136685552407932
BW_13__TRG.csv,cancer,,,0.247227533460803,0.235755258126195,0.1017208413001912,0.0674952198852772,0.0005736137667304,,0.0151051625239005,0.0869980879541109,0.2451242829827916
LFJ__TRG.csv,healthy,,,0.1649492707672796,0.0806119213696892,0.2139346861128725,0.1110494610019023,0.0010304375396322,,0.0122067216233354,0.0511255548509828,0.3650919467343056
WJW__TRG.csv,healthy,,,0.1621067031463748,0.1135430916552667,0.3218194254445964,0.0762653898768809,,,0.0085499316005471,0.0270177838577291,0.2906976744186046
BF__TRG.csv,healthy,,,0.4217118997912317,0.0285316631871955,0.1064718162839248,0.0556715379262352,0.0020876826722338,,0.022268615170494,0.022268615170494,0.3409881697981907
iRNormal_XH__TRG.csv,healthy,0.0002023062917256,0.0001517297187942,0.6443708274327331,0.0329759255512846,0.2202356868298604,0.0360105199271697,0.0002275945781913,7.586485939712725e-05,0.0034392069593364,0.0228858992514667,0.0394244386000404
GH03_W_LXZ1225__TRG.csv,healthy,6.232859636000998e-05,,0.1684741959611069,0.0703689852904512,0.3284717028172526,0.0451882323610072,0.0006232859636,,0.0177013213662428,0.0325355272999252,0.3365744203440538
GH03_W_ZXM1225__TRG.csv,healthy,0.0001746674041512,,0.2422928007918255,0.1439259410206398,0.2345492125411196,0.0264038892608657,0.0002037786381764,,0.0148758405868824,0.026724112835143,0.3108497569211959
HL_W_LS0121__TRG.csv,healthy,0.0086644756498356,,0.35857982272682,0.092072502738771,0.2291604421870331,0.0413305447664575,0.0013942834379045,,0.0221591474952693,0.040185240513893,0.2064535404840155
WDM__TRG.csv,healthy,,,0.2389699667549445,0.1444751225559249,0.1103285062264044,0.0307657632275877,0.0006198230686876,,0.0056911027215867,0.0323434946751563,0.4368062207697075
HL_W_XQF1225__TRG.csv,healthy,9.04200009042e-05,,0.2647497626474976,0.0783489307834893,0.2410597224105972,0.0475609204756092,0.0003616800036168,,0.0156426601564266,0.0937655409376554,0.2584203625842036
