sample,category,iNKT_Frequency
BW_13__TRA.csv,before,0.000258074030379
BW_12__TRA.csv,before,6.091989034419738e-05
BW_11__TRA.csv,before,0.0006336743840994
BW_8__TRA.csv,before,0.0002829654782116
BW_5__TRA.csv,before,0.0001052299273913
BW_2__TRA.csv,before,4.928536224741252e-05
BW_1__TRA.csv,before,5.292349379736653e-05
BW_15__TRA.csv,before,0.0003892874450826
BW_10__TRA.csv,after,0.0004577556892492
BW_14__TRA.csv,after,0.0013796275005748
BW_16__TRA.csv,after,0.0002138138492391
BW_7__TRA.csv,after,3.9913786221761e-05
BW_6__TRA.csv,after,0.0012069159088357
BW_9__TRA.csv,after,0.0022818343722172
BW_17__TRA.csv,after,7.550874013667082e-05
BW_4__TRA.csv,after,6.057852491291837e-05
