sample,therapy,top10TRB
BW_1,before,0.3469592359847858
BW_2,before,0.2521215262032778
BW_5,before,0.2007459480979371
BW_8,before,0.5553368524648833
BW_11,before,0.1816744948930142
BW_12,before,0.2637382142451437
BW_13,before,0.1841286661653107
BW_15,before,0.27567354625466
BW_4,after,0.2624370509281696
BW_6,after,0.1442174892781856
BW_7,after,0.1545720651841496
BW_9,after,0.128633948108784
BW_10,after,0.1275739755437319
BW_14,after,0.2316774959826731
BW_16,after,0.157054434458199
BW_17,after,0.1334769768003417
