sample,therapy,top20IGH
BW_1,before,0.1168346397909667
BW_2,before,0.1682352293678967
BW_5,before,0.1681184081948984
BW_8,before,0.1871653885110693
BW_11,before,0.0890307489888407
BW_12,before,0.1066917679274345
BW_13,before,0.1194264134918709
BW_15,before,0.0738695877751999
BW_4,after,0.1324003658067
BW_6,after,0.0427495002306627
BW_7,after,0.2238227146814404
BW_9,after,0.1291359678499665
BW_10,after,0.1471327276981454
BW_14,after,0.3699067181185622
BW_16,after,0.0416718730476071
BW_17,after,0.1260394863381795
