sample,therapy,top50IGL
BW_1,before,0.4806156526789603
BW_2,before,0.2645586131448287
BW_5,before,0.3884776149468701
BW_8,before,0.3280992452502819
BW_11,before,0.2918805435442087
BW_12,before,0.2394777562862669
BW_13,before,0.2363184365900537
BW_15,before,0.2093141582987893
BW_4,after,0.2755030251864359
BW_6,after,0.2116251803751803
BW_7,after,0.3757248550289942
BW_9,after,0.3405285118219749
BW_10,after,0.3197748395662757
BW_14,after,0.3708618546594072
BW_16,after,0.20914338569055
BW_17,after,0.4514227192205491
